account_authenticity,bidding_score,transaction_score,fraud_reports,risk_level
0.6117257062460953,0.5917257062460953,0.5717257062460953,2,Medium
0.7,0.4729007168040987,0.4635496415979506,0,Medium
0.6777127034668595,0.6577127034668595,0.6377127034668595,1,Medium
0.707404465173409,0.6,0.792595534826591,0,Medium
1.0,0.5641534271455727,0.5358465728544273,0,Medium
1.0,0.5,0.888413094047487,0,Medium
0.2941068972237322,0.2741068972237322,0.2541068972237322,5,Medium
0.6811649063413778,0.4811649063413779,0.5246596253655116,0,Medium
1.0,0.6,0.5,0,Medium
0.4063558350286024,0.6936441649713976,0.8936441649713976,0,Medium
0.3068901767828433,0.2868901767828434,0.2668901767828434,5,Medium
0.5,0.6325183322026747,0.7325183322026747,0,Medium
1.0,0.7,0.8729606178338064,0,Medium
0.7372488505728957,0.7136244252864479,0.69,1,Medium
0.6,0.5,0.7112787257423673,0,Medium
1.0,0.5,0.9,0,Medium
1.0,0.6119594245938301,0.9,0,Medium
1.0,0.6,0.8,0,Medium
0.69,0.6623921495138311,0.6347842990276621,1,Medium
1.0,0.5,0.7,0,Medium
0.2908386871981824,0.2708386871981824,0.2508386871981825,5,Medium
0.8549379559636439,0.8249379559636438,0.8,1,Medium
0.2843180151185401,0.2643180151185402,0.2443180151185401,5,Medium
1.0,0.7,0.6427541018358549,0,Medium
0.8050838253488191,0.7,0.9,0,Medium
0.6946054286503347,0.4053945713496652,0.4892108573006695,0,Medium
0.5031429185686734,0.7968570814313266,0.8968570814313266,0,Medium
0.7736358958873623,0.7436358958873622,0.7236358958873622,1,Medium
0.6237128803784735,0.6037128803784735,0.5837128803784735,1,Medium
0.4798285861767059,0.4598285861767059,0.4398285861767059,3,Medium
1.0,0.3184867052147814,0.727730057822172,0,Medium
0.6324929222914888,0.6124929222914888,0.5924929222914888,2,Medium
1.0,0.558961707696437,0.7,0,Medium
0.6824444886145695,0.6624444886145695,0.6424444886145695,1,Medium
0.5771201834508377,0.6,0.8771201834508378,0,Medium
0.5692302009017121,0.5492302009017122,0.5292302009017121,2,Medium
1.0,0.5289751452913768,0.9,0,Medium
0.8161221287254005,0.6,0.6919389356372998,0,Medium
0.5621090704297229,0.5421090704297229,0.5221090704297229,2,Medium
0.8419187962043558,0.8138375924087117,0.7880812037956442,1,Medium
0.5236659624348958,0.5036659624348958,0.4836659624348957,3,Medium
0.3948584236075087,0.3748584236075087,0.3548584236075087,4,Medium
0.4260734415379822,0.4060734415379822,0.3860734415379823,4,Medium
0.2574628023554414,0.2374628023554414,0.2174628023554414,5,Medium
0.6,0.5107441001510022,0.9,0,Medium
1.0,0.88,0.77,0,Low
0.98,0.91,0.84,0,Low
0.92,0.72,0.63,0,Low
1.0,0.67,0.68,0,Low
0.97,0.53,0.83,0,Low
0.94,0.71,0.79,0,Low
1.0,0.82,0.62,0,Low
0.89,0.59,0.76,0,Low
1.0,0.74,0.81,0,Low
0.82,0.52,0.68,0,Medium
0.91,0.61,0.64,0,Medium
1.0,0.59,0.69,0,Medium
0.84,0.56,0.61,0,Medium
0.71,0.42,0.52,0,Medium
0.62,0.51,0.62,0,Medium
0.69,0.58,0.72,0,Medium
0.53,0.39,0.49,1,High
0.31,0.21,0.32,1,High
0.43,0.29,0.37,1,High
0.21,0.11,0.21,1,High
0.33,0.19,0.16,1,High
0.27,0.17,0.21,1,High
0.11,0.23,0.27,1,High
0.22,0.13,0.22,1,High
0.41,0.31,0.27,1,High
0.52,0.41,0.33,1,High
1.0,0.91,0.82,0,Low
0.96,0.87,0.77,0,Low
0.91,0.71,0.69,0,Low
1.0,0.87,0.78,0,Low
0.99,0.89,0.83,0,Low
0.91,0.71,0.64,0,Low
1.0,0.66,0.69,0,Low
0.96,0.52,0.82,0,Low
0.93,0.7,0.78,0,Low
1.0,0.81,0.61,0,Low
0.88,0.6,0.74,0,Low
1.0,0.73,0.79,0,Low
0.83,0.53,0.67,0,Medium
0.9,0.62,0.63,0,Medium
1.0,0.58,0.68,0,Medium
0.85,0.54,0.62,0,Medium
0.7,0.41,0.51,0,Medium
0.63,0.5,0.61,0,Medium
0.68,0.57,0.7,0,Medium
0.54,0.38,0.48,1,High
0.32,0.22,0.31,1,High
0.42,0.28,0.36,1,High
0.2,0.12,0.22,1,High
0.34,0.18,0.15,1,High
0.28,0.16,0.22,1,High
0.12,0.24,0.26,1,High
0.23,0.14,0.21,1,High
0.4,0.32,0.28,1,High
0.53,0.4,0.34,1,High
1.0,0.9,0.81,0,Low
0.95,0.86,0.76,0,Low
0.89,0.7,0.68,0,Low
1.0,0.65,0.67,0,Low
0.94,0.51,0.81,0,Low
0.92,0.69,0.77,0,Low
1.0,0.8,0.6,0,Low
0.87,0.59,0.73,0,Low
1.0,0.72,0.78,0,Low
0.81,0.54,0.66,0,Medium
0.88,0.61,0.62,0,Medium
1.0,0.57,0.67,0,Medium
0.83,0.53,0.61,0,Medium
0.69,0.4,0.5,0,Medium
0.62,0.49,0.6,0,Medium
0.67,0.56,0.69,0,Medium
0.53,0.37,0.47,1,High
0.31,0.23,0.3,1,High
0.41,0.27,0.35,1,High
0.19,0.13,0.21,1,High
0.33,0.17,0.14,1,High
0.27,0.15,0.23,1,High
0.11,0.25,0.25,1,High
0.22,0.13,0.2,1,High
0.39,0.33,0.27,1,High
0.52,0.39,0.33,1,High
1.0,0.89,0.8,0,Low
0.94,0.85,0.75,0,Low
0.88,0.69,0.67,0,Low
1.0,0.64,0.66,0,Low
0.93,0.5,0.8,0,Low
0.91,0.68,0.76,0,Low
1.0,0.79,0.59,0,Low
0.86,0.58,0.72,0,Low
1.0,0.71,0.77,0,Low
0.8,0.55,0.65,0,Medium
0.87,0.6,0.61,0,Medium
1.0,0.56,0.66,0,Medium
0.82,0.52,0.6,0,Medium
0.68,0.39,0.49,0,Medium
0.61,0.48,0.59,0,Medium
0.66,0.55,0.68,0,Medium
0.52,0.36,0.46,1,High
0.3,0.24,0.29,1,High
0.4,0.26,0.34,1,High
0.18,0.14,0.2,1,High
0.32,0.16,0.13,1,High
0.26,0.14,0.24,1,High
0.1,0.26,0.24,1,High
0.21,0.12,0.19,1,High
0.38,0.34,0.26,1,High
0.51,0.38,0.32,1,High
1.0,0.7,0.7924256460271939,0,Low
0.3027483880851117,0.2827483880851117,0.2627483880851117,5,Medium
0.5,0.6816764991346462,0.8,0,Medium
0.2579267191717991,0.2379267191717992,0.2179267191717992,5,Medium
0.5,0.6009784814234238,0.7009784814234238,0,Medium
1.0,0.5939936429161569,0.5060063570838431,0,Medium
0.4042728302736048,0.3842728302736047,0.3642728302736048,4,Medium
0.8586751306159687,0.8286751306159686,0.8,1,Medium
0.3281659549014656,0.3081659549014656,0.2881659549014656,5,Medium
1.0,0.5684048673645068,0.6969575775704046,0,Medium
0.6031375185935389,0.5831375185935389,0.563137518593539,2,Medium
0.88,0.8556805498135788,0.8,0,Medium
0.6229122914019805,0.4929122914019804,0.6029122914019804,0,Medium
